epoch,cat_acc,loss,plate_acc,plate_len_acc,top_3_k,val_cat_acc,val_loss,val_plate_acc,val_plate_len_acc,val_top_3_k
0,0.06465205550193787,5.599646091461182,0.0,0.0055338540114462376,0.16282431781291962,0.06875000149011612,6.235768795013428,0.0,0.0,0.1371372789144516
1,0.3654839098453522,2.988919973373413,0.0,0.02962239645421505,0.4941888153553009,0.07382812350988388,4.953028678894043,0.0,0.0,0.16780135035514832
2,0.4243682622909546,2.2493627071380615,0.0,0.044921875,0.5787603259086609,0.09662388265132904,3.7885591983795166,0.0,0.0078125,0.24843750894069672
3,0.4617103040218353,1.9238107204437256,0.0,0.0638020858168602,0.6392421126365662,0.17854353785514832,2.9710614681243896,0.0,0.0078125,0.40016740560531616
4,0.5421416759490967,1.524347186088562,0.0068359375,0.33639565110206604,0.7076956629753113,0.32639509439468384,2.417020082473755,0.0,0.041015625,0.5662109851837158
5,0.6235206723213196,1.2391252517700195,0.06306664645671844,0.4597559869289398,0.7833778858184814,0.45039063692092896,1.9884324073791504,0.0,0.1431361585855484,0.6463727951049805
6,0.6966326236724854,0.9747627377510071,0.1258077770471573,0.6391902565956116,0.8497130870819092,0.5239118337631226,1.6527577638626099,0.0,0.2296316921710968,0.7104073762893677
7,0.745718777179718,0.7882885932922363,0.20287181437015533,0.8033251166343689,0.8940128684043884,0.5937778949737549,1.3693397045135498,0.01171875,0.2784598171710968,0.7866350412368774
8,0.773923397064209,0.6951180696487427,0.24087335169315338,0.8487293124198914,0.9131918549537659,0.6607979536056519,1.1361268758773804,0.04296875,0.4827008843421936,0.8325892686843872
9,0.7962227463722229,0.6216892600059509,0.27715083956718445,0.8719980120658875,0.9291317462921143,0.712472140789032,0.9450957775115967,0.08984375,0.5920758843421936,0.8857979774475098
10,0.8172091841697693,0.5562766790390015,0.30190250277519226,0.8884307742118835,0.9428904056549072,0.7448939681053162,0.7914336323738098,0.1743861585855484,0.6955915093421936,0.9165736436843872
11,0.8346415162086487,0.5066479444503784,0.3174431025981903,0.8790871500968933,0.9513141512870789,0.7850167751312256,0.6743292808532715,0.1978236585855484,0.7444196343421936,0.929073691368103
12,0.8570818901062012,0.4405972957611084,0.3590977191925049,0.8907938003540039,0.9620550274848938,0.8150111436843872,0.5818666219711304,0.2368861585855484,0.8133370876312256,0.9463169574737549
13,0.878882110118866,0.38421064615249634,0.40849247574806213,0.9042245745658875,0.9692093729972839,0.8446707725524902,0.5031926035881042,0.3297991156578064,0.8348214626312256,0.9647879004478455
14,0.8926601409912109,0.33743754029273987,0.42819252610206604,0.9066599011421204,0.9769470691680908,0.8602957725524902,0.4356086254119873,0.3434709906578064,0.8445870876312256,0.9708426594734192
15,0.9088106751441956,0.29892662167549133,0.49791422486305237,0.8996672630310059,0.9799901843070984,0.8838448524475098,0.3738327920436859,0.4123883843421936,0.8842076063156128,0.9810546636581421
16,0.917593777179718,0.2676750421524048,0.5329137444496155,0.9051167368888855,0.9816913604736328,0.9077845811843872,0.31816208362579346,0.4709821343421936,0.8920201063156128,0.9847656488418579
17,0.926022469997406,0.24193696677684784,0.5573278069496155,0.9091796875,0.9853286743164062,0.9218471050262451,0.2705317437648773,0.5276227593421936,0.8978794813156128,0.98828125
18,0.929492175579071,0.22428080439567566,0.5832971930503845,0.9097583889961243,0.986687421798706,0.9450613856315613,0.23034968972206116,0.6303013563156128,0.94140625,0.991406261920929
19,0.9387719631195068,0.20346851646900177,0.6264829039573669,0.916015625,0.9903079867362976,0.9517019987106323,0.19790062308311462,0.6791294813156128,0.943359375,0.9923827648162842
20,0.9420512318611145,0.19381698966026306,0.6415292620658875,0.9119526743888855,0.98974609375,0.9575613141059875,0.17278781533241272,0.7240513563156128,0.9453125,0.9931640625
21,0.9487015604972839,0.17297646403312683,0.6770231127738953,0.9225260615348816,0.9919114112854004,0.9632812738418579,0.15405862033367157,0.775390625,0.9453125,0.9937499761581421
22,0.9491403102874756,0.16525138914585114,0.6798684000968933,0.9231770634651184,0.991943895816803,0.9673827886581421,0.13960155844688416,0.798828125,0.9453125,0.995312511920929
23,0.9533637166023254,0.15133801102638245,0.6946012377738953,0.9122781753540039,0.9936535358428955,0.9693359136581421,0.12798666954040527,0.8125,0.943359375,0.995312511920929
24,0.9574170112609863,0.13800612092018127,0.7190153002738953,0.925865650177002,0.9939211010932922,0.9716796875,0.11820193380117416,0.828125,0.9453125,0.995898425579071
25,0.9559040665626526,0.14058057963848114,0.710961639881134,0.9210672378540039,0.9941658973693848,0.9720703363418579,0.10965196043252945,0.833984375,0.9453125,0.9966796636581421
26,0.9587504863739014,0.1335044652223587,0.7241392135620117,0.9293619990348816,0.9935884475708008,0.9730468988418579,0.10301396995782852,0.84375,0.9453125,0.9974609613418579
27,0.9597933888435364,0.12860074639320374,0.7276475429534912,0.9282286763191223,0.9951255917549133,0.974609375,0.09833979606628418,0.8515625,0.947265625,0.997265636920929
28,0.9622262120246887,0.11949758976697922,0.7453824877738953,0.9260344505310059,0.9951014518737793,0.9759765863418579,0.09441331028938293,0.86328125,0.947265625,0.997851550579071
29,0.9652863144874573,0.11101137101650238,0.7647449374198914,0.9315683245658875,0.995898425579071,0.9769531488418579,0.09109474718570709,0.87109375,0.947265625,0.9976562261581421
30,0.9634222388267517,0.11584584414958954,0.7534360885620117,0.9291208386421204,0.9951171875,0.9747488498687744,0.08767440915107727,0.8392857313156128,0.947265625,0.997851550579071
